Source: (15.00, 1.00, -4.50), Receiver: (0.00, 1.00, 0.00), Reflection: 0, Hit: (15.23, 0.88, -4.95), Time: 0.0015s, Energy: 0.80
Source: (15.00, 1.00, -4.50), Receiver: (0.00, 1.00, 0.00), Reflection: 0, Hit: (14.71, 1.15, -4.95), Time: 0.0016s, Energy: 0.80
Source: (15.00, 1.00, -4.50), Receiver: (0.00, 1.00, 0.00), Reflection: 1, Hit: (14.50, 1.26, -4.62), Time: 0.0028s, Energy: 0.72
Source: (15.00, 1.00, -4.50), Receiver: (0.00, 1.00, 0.00), Reflection: 2, Hit: (10.05, 1.76, -0.97), Time: 0.0197s, Energy: 0.58
Source: (15.00, 1.00, -4.50), Receiver: (0.00, 1.00, 0.00), Reflection: 3, Hit: (16.30, 2.45, 4.16), Time: 0.0433s, Energy: 0.35
Source: (15.00, 1.00, -4.50), Receiver: (0.00, 1.00, 0.00), Reflection: 4, Hit: (19.95, 2.86, 1.16), Time: 0.0571s, Energy: 0.28
Source: (15.00, 1.00, -4.50), Receiver: (0.00, 1.00, 0.00), Reflection: 0, Hit: (14.39, 0.91, -4.58), Time: 0.0018s, Energy: 0.90
Source: (15.00, 1.00, -4.50), Receiver: (0.00, 1.00, 0.00), Reflection: 1, Hit: (14.67, 0.84, -4.95), Time: 0.0032s, Energy: 0.72
Source: (15.00, 1.00, -4.50), Receiver: (15.00, 1.00, -15.00), Reflection: 0, Hit: (15.88, 0.55, -4.95), Time: 0.0032s, Energy: 0.80
Source: (15.00, 1.00, -4.50), Receiver: (15.00, 1.00, -15.00), Reflection: 0, Hit: (14.32, 0.04, -4.74), Time: 0.0035s, Energy: 0.90
Source: (15.00, 1.00, -4.50), Receiver: (15.00, 1.00, -15.00), Reflection: 1, Hit: (13.73, 0.86, -4.95), Time: 0.0065s, Energy: 0.72
Source: (15.00, 1.00, -4.50), Receiver: (15.00, 1.00, -15.00), Reflection: 2, Hit: (13.73, 0.86, -4.95), Time: 0.0065s, Energy: 0.58
Source: (15.00, 1.00, -4.50), Receiver: (15.00, 1.00, -15.00), Reflection: 3, Hit: (13.37, 0.68, -4.76), Time: 0.0078s, Energy: 0.17
Source: (15.00, 1.00, -4.50), Receiver: (15.00, 1.00, -15.00), Reflection: 4, Hit: (13.00, 0.48, -4.95), Time: 0.0091s, Energy: 0.14
Source: (15.00, 1.00, -4.50), Receiver: (15.00, 1.00, -15.00), Reflection: 0, Hit: (14.92, 0.97, -4.95), Time: 0.0013s, Energy: 0.80
